order_id,customer_id,status,has_discount,net_amount,order_date
1,2,VALID,False,1348,2026-06-17
2,3,VALID,False,1348,2026-06-17
3,4,VALID,False,1348,2026-06-17
4,5,VALID,False,1348,2026-06-17
5,6,VALID,False,1348,2026-06-17
6,7,VALID,False,1348,2026-06-17
7,8,VALID,False,1348,2026-06-17
8,9,VALID,False,1348,2026-06-17
9,10,VALID,False,1348,2026-06-17
10,11,VALID,False,1348,2026-06-17
11,12,VALID,False,1348,2026-06-17
12,13,VALID,False,1348,2026-06-17
13,14,VALID,False,1348,2026-06-17
14,15,VALID,False,1348,2026-06-17
15,16,VALID,False,1348,2026-06-17
16,17,VALID,False,1348,2026-06-17
17,18,VALID,False,1348,2026-06-17
18,19,VALID,False,1348,2026-06-17
19,20,VALID,False,1348,2026-06-17
20,21,VALID,False,1348,2026-06-17
21,22,VALID,False,1348,2026-06-17
22,23,VALID,False,1348,2026-06-17
23,24,VALID,False,1348,2026-06-17
24,25,VALID,False,1348,2026-06-17
25,26,VALID,False,1348,2026-06-17
26,27,VALID,False,1348,2026-06-17
27,28,VALID,False,1348,2026-06-17
28,29,VALID,False,1348,2026-06-17
29,30,VALID,False,1348,2026-06-17
30,31,VALID,False,1348,2026-06-17
31,32,VALID,False,1348,2026-06-17
32,33,VALID,False,1348,2026-06-17
33,34,VALID,False,1348,2026-06-17
34,35,VALID,False,1348,2026-06-17
35,36,VALID,False,1348,2026-06-17
36,37,VALID,False,1348,2026-06-17
37,38,VALID,False,1348,2026-06-17
38,39,VALID,False,1348,2026-06-17
39,40,VALID,False,1348,2026-06-17
40,41,VALID,False,1348,2026-06-17
41,42,VALID,False,1348,2026-06-17
42,43,VALID,False,1348,2026-06-17
43,44,VALID,False,1348,2026-06-17
44,45,VALID,False,1348,2026-06-17
45,46,VALID,False,1348,2026-06-17
46,47,VALID,False,1348,2026-06-17
47,48,VALID,False,1348,2026-06-17
48,49,VALID,False,1348,2026-06-17
49,50,VALID,False,1348,2026-06-17
50,51,VALID,False,1348,2026-06-17
51,52,VALID,False,1348,2026-06-17
52,53,VALID,False,1348,2026-06-17
53,54,VALID,False,1348,2026-06-17
54,55,VALID,False,1348,2026-06-17
55,56,VALID,False,1348,2026-06-17
56,57,VALID,False,1348,2026-06-17
57,58,VALID,False,1348,2026-06-17
58,59,VALID,False,1348,2026-06-17
59,60,VALID,False,1348,2026-06-17
60,61,VALID,False,1348,2026-06-17
61,62,VALID,False,1348,2026-06-17
62,63,VALID,False,1348,2026-06-17
63,64,VALID,False,1348,2026-06-17
64,65,VALID,False,1348,2026-06-17
65,66,VALID,False,1348,2026-06-17
66,67,VALID,False,1348,2026-06-17
67,68,VALID,False,1348,2026-06-17
68,69,VALID,False,1348,2026-06-17
69,70,VALID,False,1348,2026-06-17
70,71,VALID,False,1348,2026-06-17
71,72,VALID,False,1348,2026-06-17
72,73,VALID,False,1348,2026-06-17
73,74,VALID,False,1348,2026-06-17
74,75,VALID,False,1348,2026-06-17
75,76,VALID,False,1348,2026-06-17
76,77,VALID,False,1348,2026-06-17
77,78,VALID,False,1348,2026-06-17
